N,i,h,_soname,_owner,_application,_mass,_maneuverable,_propulsion,_length,_area,total_mass,total_cost
3600,55,508,Guowang-3,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,900000,2430000000.0
2240,97,380,AstraSpace-3-SSO,Astraspace,Internet,50.0,y,electric,6.0,6.0,112000,302400000.0
2000,50,600,Guowang-2,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,500000,1350000000.0
1792,55,700,AstraSpace-MED-I,Astraspace,Internet,50.0,y,electric,6.0,6.0,89600,241920000.0
1728,30,1145,Guowang-4,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,432000,1166400000.0
1728,40,1145,Guowang-5,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,432000,1166400000.0
1728,50,1145,Guowang-6,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,432000,1166400000.0
1728,60,1145,Guowang-7,Guowang,Comms,250.0,y,gas,1.2,0.6911999999999999,432000,1166400000.0
1564,37.9,690,BoeingLEO-4,Boeing,Comms,250.0,y,electric,1.2,0.6911999999999999,391000,1055700000.0
1440,55,1150,Hughes_Network_Systems,Other,Comms,250.0,y,electric,1.2,0.6911999999999999,360000,972000000.0
1400,54.9,680,BoeingLEO-3,Boeing,Comms,250.0,y,electric,1.2,0.6911999999999999,350000,945000000.0
1296,42,610,Amazon_Kuiper-2,Amazon,Comms,325.0,y,electric,1.2,0.6911999999999999,421200,1137240000.0
1156,51.9,630,Amazon_Kuiper-3,Amazon,Comms,325.0,y,electric,1.2,0.6911999999999999,375700,1014390000.0
1024,60.7,460,SatRevolution,Other,EO,50.0,y,None,6.0,6.0,51200,138240000.0
980,48.8,1070,BoeingLEO-6,Boeing,Comms,200.0,y,y,1.52,0.7904,196000,529200000.0
840,37.2,1040,BoeingLEO-5,Boeing,Comms,200.0,y,y,1.52,0.7904,168000,453600000.0
791,87.9,8000,Mangata_Networks,Other,Comms,200.0,y,y,1.52,0.7904,158200,427140000.0
784,33,590,Amazon_Kuiper-1,Amazon,Comms,325.0,y,electric,1.2,0.6911999999999999,254800,687960000.0
600,82.9,670,BoeingLEO-2,Boeing,Comms,200.0,y,y,1.52,0.7904,120000,324000000.0
504,98,690,AstraSpace-SSO,Astraspace,Internet,50.0,y,electric,6.0,6.0,25200,68040000.0
300,90,535,Chang_Guang,SSOCubesat,EO,150.0,y,gas,0.1,0.005000000000000001,45000,121500000.0
243,53.2,510,AST_&_Science,Other,Comms,1500.0,n,electric,8.0,64.0,364500,984150000.0
198,30,1530,Astrome,Other,Comms,10.0,n,None,1.0,1.0,1980,5346000.0
192,97,500,ADA_Space,SSOCubesat,EO,8.0,n,None,6.0,6.0,1536,4147200.0
180,87.9,550,Curvalux-2,Cubesat,Comms,150.0,y,gas,1.2,0.6911999999999999,27000,72900000.0
120,98.6,800,Theia,SSOCubesat,EO,4.0,No,None,3.0,3.0,480,1296000.0
100,98,500,Canon,SSOCubesat,EO,35.5,y,electric,0.67,0.1943,3500,9585000.0
68,6,650,ExactEarth_(operating),Other,EO,6.0,y,None,0.02,0.0004,408,1101600.0
60,45,550,Curvalux-1,Cubesat,Comms,150.0,y,gas,1.2,0.6911999999999999,9000,24300000.0
50,86.4,550,Climavision_,SSOCubesat,EO,40.0,y,electric,8.0,2.0,2000,5400000.0
50,97.7,600,Axelspace,SSOCubesat,EO,100.0,y,gas,1.0,1.0,5000,13500000.0
50,90,550,Care_Weather,SSOCubesat,Weather,1.0,y,None,1.0,1.0,50,135000.0
