line number,satellite catalog number,classification,International Designator(launch year),International Designator (launch num),International Designator (piece of launch),epoch year,epoch day,first time derivative of mean motion(ballisitc coefficient),second time derivative of mean motion(delta-dot),bstar drag term,ephemeris type,element number,checksum,inclination,right ascension of the ascending node,eccentricity,argument of perigee,mean anomaly,mean motion,revolution number at epoch,#JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,PLName,Primary,Status,Dest,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,OQUAL,AltNames
1,32763,U,08,016,A  ,23,110.85225909,-.00000178, 00000+0, 00000+0,0,  999,8,  4.3458, 30.7593,0002584,348.5203, 43.3488, 1.00272886, 5498,S32763,-,32763,2008-016A,P,P           ,D1,2008 Apr 14,S32764,DISH,US,2008 Apr 14 2042,In Earth orbit,-,2023 Apr 16 ,    1436.103 ,   35775, ,   35797, ,  4.34 , ,GEO/I,ICO G1,Earth,N,-,LOR,SSL-1300,R-4D-15-300,6600.0, ,3000.0,?,6600.0, ,8.2, ,3.0,?,30.0, ,Box + 2 Pan,-,-
1,32767,U,08,018,A  ,23,110.89788598,-.00000334, 00000+0, 00000+0,0,  999,0,  0.0482, 67.7797,0001671,344.7130,251.3993, 1.00273180, 5502,S32767,-,32767,2008-018A,A,P           ,Vinasat,2008 Apr 18,S32769,VNPT,VN,2008 Apr 18 2247,In Earth orbit,-,2023 Apr 16 ,    1436.102 ,   35778, ,   35795, ,  0.05 , ,GEO/S,Vinasat,Earth,O,-,LMCSS,A2100,Leros 1C,2600.0, ,1200.0,?,2600.0, ,5.0,?,2.2,?,26.0,?,Box + 2 Pan,-,-
1,32768,U,08,018,B  ,23,110.85783763,-.00000283, 00000+0, 00000+0,0,  999,9,  0.0453, 23.5000,0002338,  8.4570, 60.5237, 1.00270560, 5510,S32768,-,32768,2008-018B,A,P           ,Star One C2,2008 Apr 18,S32770,STONE,BR,2008 Apr 18 2243,In Earth orbit,-,2023 Apr 16 ,    1436.097 ,   35777, ,   35796, ,  0.01 , ,GEO/S,Star One C2,Earth,O,-,THALA,Spacebus 3000B3,S400,    4100 , ,   1750 , ,    4100 , ,   4.0 , ,  2.4 , ,   22.4 , ,Box + 2 Pan,-,-
1,32783,U,08,021,A  ,23,111.11254280, .00001554, 00000+0, 21882-3,0,  999,3, 97.9211,172.4851,0011627,247.8341,112.1645,14.78673815,80848,S32783,-,32783,2008-021A,A,P           ,Cartosat 2A,2008 Apr 28,S32792,ISRO,IN,2008 Apr 28 0408,In Earth orbit,-,2023 Apr 16 ,      97.386 ,     625, ,     641, , 97.92 , ,LEO/S,Cartosat-2A,Earth,O,-,ISRO,IRS-2,AOCS,     690 , ,    600 ,?,     690 , ,   2.0 ,?,  2.0 ,?,    6.0 ,?,Hex Cyl + 2 Pan,-,-
1,32785,U,08,021,C  ,23,110.72477678, .00006620, 00000+0, 66042-3,0,  999,5, 97.7016, 77.9466,0010471,299.4356, 60.5817,14.91829490,81232,S32785,-,32785,2008-021C,A,P           ,Cubesat-OSCAR-65,2008 Apr 28,S32792,TIT,J,2008 Apr 28 0411,In Earth orbit,-,2023 Apr 16 ,      96.530 ,     584, ,     600, , 97.70 , ,LLEO/S,Cute-1.7/APD 2,Earth,O,-,TIT,Cubesat 2U,-,       4 , ,      4 , ,       4 , ,   0.2 , ,  0.1 , ,    0.2 , ,Box,-,CO-65
1,32788,U,08,021,F  ,23,110.44202303, .00013575, 00000+0, 10207-2,0,  999,6, 97.5541, 91.2109,0007678,177.8537,182.2723,15.02653491,81443,S32788,-,32788,2008-021F,A,P           ,AAUSat-II,2008 Apr 28,S32792,AAU,DK,2008 Apr 28 0412,In Earth orbit,-,2023 Apr 16 ,      95.839 ,     554, ,     564, , 97.55 , ,LLEO/S,AAUSat-II,Earth,O,-,AAU,Cubesat 1U,-,       1 , ,      1 , ,       1 , ,   0.1 , ,  0.1 , ,    0.1 , ,Box,-,NLS-4
1,32789,U,08,021,G  ,23,110.81638765, .00056257, 00000+0, 18939-2,0,  999,7, 97.3086,132.9305,0004380,344.3345, 15.7759,15.30564801,81859,S32789,-,32789,2008-021G,A,P           ,Delfi-OSCAR-64,2008 Apr 28,S32792,DELFT,NL,2008 Apr 28 0411,In Earth orbit,-,2023 Apr 16 ,      94.117 ,     472, ,     479, , 97.31 , ,LLEO/S,Delfi-C3,Earth,O,-,DELFT,Cubesat 3U,-,       3 , ,      3 , ,       3 , ,   0.3 , ,  0.1 , ,    0.3 , ,Box + Ant,-,"DO-64,NLS-4"
1,32790,U,08,021,H  ,23,110.62399042, .00004774, 00000+0, 48693-3,0,  999,8, 97.7123, 76.6525,0011608,306.5924, 53.4225,14.91073354,81217,S32790,-,32790,2008-021H,A,P           ,CanX-2,2008 Apr 28,S32792,UTIAS,CA,2008 Apr 28 0411,In Earth orbit,-,2023 Apr 16 ,      96.578 ,     586, ,     602, , 97.71 , ,LLEO/S,CanX-2,Earth,O,-,UTIAS,Cubesat 3U,-,       3 , ,      3 , ,       3 , ,   0.3 , ,  0.1 , ,    0.3 , ,Box + Ant,-,NLS-4
1,32791,U,08,021,J  ,23,110.49690617, .00007770, 00000+0, 69680-3,0,  999,4, 97.6520, 82.9908,0010267,241.5948,118.4238,14.95994378,81311,S32791,-,32791,2008-021J,A,P           ,Cubesat-OSCAR-66,2008 Apr 28,S32792,NIHON,J,2008 Apr 28 0412,In Earth orbit,-,2023 Apr 16 ,      96.262 ,     572, ,     586, , 97.65 , ,LLEO/S,SEEDS 2,Earth,O,-,NIHON,Cubesat 1U,-,       1 , ,      1 , ,       1 , ,   0.1 , ,  0.1 , ,    0.1 , ,Box,-,"CO-66,NLS-4"
1,32794,U,08,022,A  ,23,110.86995353,-.00000042, 00000+0, 00000+0,0,  999,7,  0.0114,238.8406,0002330,144.8071,134.0686, 1.00271564, 7077,S32794,-,32794,2008-022A,A,P           ,Amos 3,2008 Apr 28,S33059,IAIS,IL,2008 Apr 28 1219,In Earth orbit,-,2023 Apr 16 ,    1436.124 ,   35776, ,   35797, ,  0.02 , ,GEO/S,Amos 3,Earth,O,-,IAI,Amos,AOCS,    1360 , ,    968 , ,    1360 , ,   2.7 , ,  2.0 , ,   11.0 , ,Box + 2 Pan,-,-
1,32951,U,08,024,A  ,23,111.20669147, .00000019, 00000+0, 00000+0,0,  999,5,  0.0189,250.3942,0003099,149.3215,120.7110, 1.00271975, 5452,S32951,-,32951,2008-024A,A,P           ,Galaxy 18,2008 May 21,S32952,INTELU,US,2008 May 21 1043,In Earth orbit,-,2023 Apr 15 ,    1436.058 ,   35772, ,   35798, ,  0.02 , ,GEO/S,Galaxy 18,Earth,O,-,LOR,SSL-1300,R-4D-11-164,    4640 , ,   2000 ,?,    4640 , ,   5.6 ,?,  2.8 ,?,   31.0 ,?,Box + 2 Pan,-,-
1,32953,U,08,025,A  ,23,111.14288204, .00000024, 00000+0, 10000-3,0,  999,3, 82.5074,352.5857,0019108,311.6634, 48.2813,12.43122031,67656,S32953,-,32953,2008-025A,A,P           ,Yubileyniy,2008 May 23,S32957,RESH/ROSTO,RU,2008 May 23 1705,In Earth orbit,-,2023 Apr 16 ,     115.837 ,    1478, ,    1508, , 82.51 , ,LEO/I,Yubileyniy,Earth,O,-,RESH,Yubilyeniy,-,      48 , ,     48 , ,      48 , ,   1.0 ,?,  0.4 ,?,    1.0 ,?,Hex Cyl + Ant,-,RS-30
